==> /mnt/v0/result_v2/datasets/1351[0.001].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,11,0,0,0,1577808017,1,0,0,1,1
0,0,2,0,0,0,1577844316,36316,0,0,1,0
0,0,14855,0,0,0,1577846292,0,0,0,1,0
0,0,2,0,0,0,1577835908,27908,0,0,1,0
0,0,46770,0,0,0,1577846298,0,0,0,1,0

==> /mnt/v0/result_v2/datasets/7[0.2].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,114577,0,0,0,1577954870,0,0,0,4096,0
0,0,13,0,0,0,1577949634,3868,0,0,1536,0
0,0,9,0,0,0,1577949634,50066,0,0,17408,0
0,0,435577,0,0,0,1577954873,0,0,0,4096,0
0,0,32,0,0,0,1577951349,0,0,0,8192,1
0,0,5,0,0,0,1577872433,4522,0,0,1536,0
0,0,6,0,0,0,1577952187,1253,0,0,1536,0
0,0,120444,0,0,0,1577954873,0,0,0,4096,0
0,0,4,0,0,0,1577926147,0,0,0,8192,1

==> /mnt/v0/result_v2/datasets/7[0.2,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,45206,0,0,0,1577868809,0,0,0,1,0
0,0,5,0,0,0,1577866628,8537,0,0,1,0
0,0,5,0,0,0,1577850670,6354,0,0,1,1
0,0,165364,0,0,0,1577868812,0,0,0,1,0
0,0,11,0,0,0,1577808017,1,0,0,1,1
0,0,4,0,0,0,1577867911,20682,0,0,1,0
0,0,2,0,0,0,1577854002,46002,0,0,1,1
0,0,47566,0,0,0,1577868811,0,0,0,1,0
0,0,5,0,0,0,1577862489,4397,0,0,1,0

==> /mnt/v0/result_v2/datasets/7[0.4].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,208120,0,0,0,1578078716,0,0,0,4096,0
0,0,21,0,0,0,1578056102,10624,0,0,1536,0
0,0,20,0,0,0,1578061875,19806,0,0,1536,0
0,0,826090,0,0,0,1578078726,0,0,0,4096,0
0,0,32,0,0,0,1577951349,0,0,0,8192,1
0,0,10,0,0,0,1578058017,1913,0,0,1536,0
0,0,9,0,0,0,1578026022,11794,0,0,1536,0
0,0,220683,0,0,0,1578078731,4,0,0,4096,0
0,0,4,0,0,0,1577926147,0,0,0,8192,0

==> /mnt/v0/result_v2/datasets/7[0.4,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,168982,0,0,0,1578033643,0,0,0,1,0
0,0,18,0,0,0,1578022500,51953,0,0,1,0
0,0,15,0,0,0,1578031358,6560,0,0,1,0
0,0,664051,0,0,0,1578033644,0,0,0,1,0
0,0,32,0,0,0,1577951349,0,0,0,1,1
0,0,8,0,0,0,1578024798,37079,0,0,1,0
0,0,9,0,0,0,1578026022,11794,0,0,1,1
0,0,177921,0,0,0,1578033644,0,0,0,1,0
0,0,4,0,0,0,1577926147,0,0,0,1,1

==> /mnt/v0/result_v2/datasets/block_traces_5[0.001].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,6,0,0,0,1702857480,2,0,0,5231,1
0,0,2,0,0,0,1702857480,2,0,0,2854912,1
0,0,4,0,0,0,1702857498,7,0,0,1859584,1
0,0,27,0,0,0,1702857578,0,0,0,139389,0
0,0,2,0,0,0,1702857479,0,0,0,2142208,1
0,0,4,0,0,0,1702857489,2,0,0,684032,1
0,0,3,0,0,0,1702857553,1,0,0,8388608,1
0,0,5,0,0,0,1702857482,0,0,0,2113536,1
0,0,2,0,0,0,1702857482,0,0,0,999424,1

==> /mnt/v0/result_v2/datasets/block_traces_5[0.001,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,6,0,0,0,1702857480,2,0,0,1,1
0,0,2,0,0,0,1702857480,2,0,0,1,1
0,0,4,0,0,0,1702857498,7,0,0,1,1
0,0,27,0,0,0,1702857578,0,0,0,1,0
0,0,2,0,0,0,1702857479,0,0,0,1,1
0,0,4,0,0,0,1702857489,2,0,0,1,1
0,0,3,0,0,0,1702857553,1,0,0,1,1
0,0,5,0,0,0,1702857482,0,0,0,1,1
0,0,2,0,0,0,1702857482,0,0,0,1,1

==> /mnt/v0/result_v2/datasets/block_traces_5[0.01].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,6,0,0,0,1702857480,2,0,0,5231,1
0,0,2,0,0,0,1702857480,2,0,0,2854912,1
0,0,4,0,0,0,1702857498,7,0,0,1859584,1
0,0,144,0,0,0,1702858178,0,0,0,307200,1
0,0,2,0,0,0,1702857479,0,0,0,2142208,1
0,0,4,0,0,0,1702857951,1,0,0,791196,1
0,0,4,0,0,0,1702857489,2,0,0,684032,1
0,0,3,0,0,0,1702857553,1,0,0,8388608,1
0,0,5,0,0,0,1702857482,0,0,0,2113536,1

==> /mnt/v0/result_v2/datasets/block_traces_5[0.01,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,6,0,0,0,1702857480,2,0,0,1,1
0,0,2,0,0,0,1702857480,2,0,0,1,1
0,0,4,0,0,0,1702857498,7,0,0,1,1
0,0,144,0,0,0,1702858178,0,0,0,1,1
0,0,2,0,0,0,1702857479,0,0,0,1,1
0,0,4,0,0,0,1702857951,1,0,0,1,1
0,0,4,0,0,0,1702857489,2,0,0,1,1
0,0,3,0,0,0,1702857553,1,0,0,1,1
0,0,5,0,0,0,1702857482,0,0,0,1,1

==> /mnt/v0/result_v2/datasets/block_traces_5[0.1].csv <==
